Numder,Content,Link
15,"Программист-разработчик Python
Опыт 1-3 года
ТОО Prime Source
Астана
Написание и поддержка проекта. Оптимизация и рефакторинг существующего кода для повышения его производительности и качества. Создание и управление Docker-контейнерами...
Опыт работы с Python не менее 1-2 лет. Знание основных библиотек и фреймворков Python (например, Django, Flask, Pandas).
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=103969176&hhtmFrom=vacancy_search_list
16,"Python разработчик (в офис)
80 000 – 100 000 ₽ до вычета налогов
Опыт 1-3 года
ООО СтратоСфера
Зеленоград
Автоматизация бизнес-процессов на Python, связанных со станциями технического обслуживания автомобилей. Разработка системы электронного документооборота и автоматизации процессов для клиентов...
Языки программирования: Python, JS. Flask + SQLAlchemy (основной стек). Django (в процессе портирования на основной стек). Платформа: Docker, nginx, gunicorn...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=102915768&hhtmFrom=vacancy_search_list
17,"Backend-разработчик / Разработчик Python
от 230 000 ₽ до вычета налогов
Опыт 1-3 года
Университет ИТМО
Санкт-Петербург•Василеостровская
Участие в выполнении проектов от корпоративных партнеров. Проектирование и разработка бекенд-а. Разработка системного ПО для автоматизации вычислительных экспериментов, а...
Знание и опыт работы с одним из фреймворков Django, Flask, FastAPI. Опыт работы с реляционными СУБД (PostgreSQL, MySQL), знание ORM...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=103229050&hhtmFrom=vacancy_search_list
18,"Разработчик Python
Опыт более 6 лет
Можно удалённо
ООО ИНФОМЕДИА
Москва
Корпоративные сайты (топовые компании страны). Интерактивные стенды, мобильные приложения, AR/VR интерактивы, рекламные концепции для музеев. Геоинформационные сервисы.
Высшее техническое образование. Подтверждённый опыт разработки на Python более 5 лет. Экспертное знание Python, опыт коммерческой разработки 5-7 лет.
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104131893&hhtmFrom=vacancy_search_list
19,"Программист Python (веб и мобильные проекты)
от 50 000 ₽ на руки
Опыт 1-3 года
Можно удалённо
Web++
Волгоград
Разработка и поддержка бекенд логики веб и мобильных приложений. Проектирование архитектуры приложений совместно с командой. Проведение код-ревью и помощь...
Понимание ООП, MVC, процедурных и функциональных подходов. Опыт работы с Python фреймворками Django/fastapi/flask. Опыт работы с серверами баз...
Откликнуться
Посмотреть контакты",https://spb.hh.ru/applicant/vacancy_response?vacancyId=102942268&hhtmFrom=vacancy_search_list
20,"Middle Python developer
150 000 – 200 000 ₽ на руки
Опыт 3-6 лет
ООО Селфсек
Москва•Трубная и еще 2 
Написание чистого, понятного кода. Ведение (исправление багов, модернизация, улучшение) разработанного микросервиса.
Опыт работы с веб-фреймворками (flask, fastapi, aiohttp), OpenAPI, сериализаторами (pydantic, marshmallow, etc.). Умение покрывать свой код автотестами (pytest) и...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=72687504&hhtmFrom=vacancy_search_list
1,"Python разработчик
Опыт 1-3 года
Можно удалённо
LC Group
•Работодатель онлайн
Новосибирск
Развитие и поддержка сервиса многофакторной оценки клиентов в сфере кредитования на базе моделей машинного обучения (скоринг). Разработка и поддержка инструментов...
Имеете опыт работы с Docker и с web-фреймворками (Django, aiohttp, tornado, flask, etc.). Знание и опыт работы с очередями...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=98876602&hhtmFrom=vacancy_search_list
2,"Программист-разработчик Python
Опыт 1-3 года
ТОО Prime Source
Астана
Написание и поддержка проекта. Оптимизация и рефакторинг существующего кода для повышения его производительности и качества. Создание и управление Docker-контейнерами...
Опыт работы с Python не менее 1-2 лет. Знание основных библиотек и фреймворков Python (например, Django, Flask, Pandas).
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=103969176&hhtmFrom=vacancy_search_list
3,"Middle Python developer
150 000 – 200 000 ₽ на руки
Опыт 3-6 лет
ООО Селфсек
Москва•Трубная и еще 2 
Написание чистого, понятного кода. Ведение (исправление багов, модернизация, улучшение) разработанного микросервиса.
Опыт работы с веб-фреймворками (flask, fastapi, aiohttp), OpenAPI, сериализаторами (pydantic, marshmallow, etc.). Умение покрывать свой код автотестами (pytest) и...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=72687504&hhtmFrom=vacancy_search_list
4,"Разработчик Python
Опыт более 6 лет
Можно удалённо
ООО ИНФОМЕДИА
•Работодатель онлайн
Москва
Корпоративные сайты (топовые компании страны). Интерактивные стенды, мобильные приложения, AR/VR интерактивы, рекламные концепции для музеев. Геоинформационные сервисы.
Высшее техническое образование. Подтверждённый опыт разработки на Python более 5 лет. Экспертное знание Python, опыт коммерческой разработки 5-7 лет.
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104131893&hhtmFrom=vacancy_search_list
